"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0.5",0.4852,80,"0.8","N4",0.934,0.485,0.920824657779841,0.0131753422201591,-0.435824657779841
"0.5",0.486,110,"0","N4",1,0.334,0.974304570608645,0.0256954293913554,-0.640304570608645
"0.5",0.4862,110,"0.2","N4",0.999,0.474,0.974392869663245,0.0246071303367553,-0.500392869663245
"0.5",0.4879,110,"0.4","N4",0.998,0.515,0.975133203393345,0.0228667966066546,-0.460133203393345
"0.5",0.4768,110,"0.6","N4",0.995,0.509,0.969958616301011,0.0250413836989892,-0.460958616301011
"0.5",0.4893,110,"0.8","N4",0.982,0.519,0.97572933401181,0.00627066598818993,-0.45672933401181
"0.7",0.6592,20,"0","N4",0.912,0.16,0.656297536252602,0.255702463747398,-0.496297536252602
"0.7",0.6652,20,"0.2","N4",0.874,0.425,0.663125375243829,0.210874624756171,-0.238125375243829
"0.7",0.6636,20,"0.4","N4",0.842,0.462,0.661309756476329,0.180690243523671,-0.199309756476329
"0.7",0.6511,20,"0.6","N4",0.806,0.433,0.646998784480952,0.159001215519048,-0.213998784480952
"0.7",0.6594,20,"0.8","N4",0.673,0.404,0.656525970130792,0.0164740298692082,-0.252525970130792
"0.7",0.6548,50,"0","N4",1,0.284,0.945908802728824,0.0540911972711764,-0.661908802728824
"0.7",0.6639,50,"0.2","N4",1,0.476,0.950691722104846,0.0493082778951541,-0.474691722104846
"0.7",0.6597,50,"0.4","N4",0.994,0.525,0.948527932180291,0.0454720678197089,-0.423527932180291
"0.7",0.6618,50,"0.6","N4",0.997,0.491,0.949619083506318,0.0473809164936817,-0.458619083506318
"0.7",0.6626,50,"0.8","N4",0.961,0.468,0.950029879826541,0.0109701201734588,-0.482029879826541
"0.7",0.6601,80,"0","N4",1,0.335,0.993997882013872,0.00600211798612849,-0.658997882013872
"0.7",0.6609,80,"0.2","N4",1,0.497,0.994083024195344,0.00591697580465556,-0.497083024195344
"0.7",0.659,80,"0.4","N4",1,0.491,0.993879038674307,0.00612096132569317,-0.502879038674307
"0.7",0.6591,80,"0.6","N4",1,0.492,0.993889928117923,0.00611007188207657,-0.501889928117923
"0.7",0.6626,80,"0.8","N4",0.997,0.513,0.994260403473486,0.00273959652651434,-0.481260403473486
"0.7",0.6601,110,"0","N4",1,0.375,0.99939246473296,0.000607535267040382,-0.62439246473296
"0.7",0.6625,110,"0.2","N4",1,0.502,0.999429156441227,0.000570843558773459,-0.497429156441227
"0.7",0.654,110,"0.4","N4",1,0.491,0.999289181537576,0.000710818462424267,-0.508289181537576
"0.7",0.6508,110,"0.6","N4",1,0.513,0.999228743746643,0.0007712562533575,-0.486228743746642
"0.7",0.659,110,"0.8","N4",1,0.535,0.999374930030727,0.000625069969272807,-0.464374930030727
"0",0.0101,20,"0","N6",0.034,0.004,0.0533203055762171,-0.0193203055762171,-0.0493203055762171
"0",-0.011,20,"0.2","N6",0.043,0.012,0.0465735901212763,-0.00357359012127627,-0.0345735901212763
"0",-0.0063,20,"0.4","N6",0.014,0.037,0.0480138195608516,-0.0340138195608516,-0.0110138195608516
"0",0.0053,20,"0.6","N6",0.031,0.043,0.0517211751504409,-0.0207211751504409,-0.00872117515044095
"0",-0.0122,20,"0.8","N6",0.025,0.038,0.0462114821780863,-0.0212114821780863,-0.00821148217808635
"0",-0.0112,50,"0","N6",0.034,0.006,0.0445214244863517,-0.0105214244863517,-0.0385214244863517
"0",0.01,50,"0.2","N6",0.057,0.027,0.0553340219527986,0.00166597804720143,-0.0283340219527986
"0",0.0089,50,"0.4","N6",0.026,0.032,0.0547261443569442,-0.0287261443569442,-0.0227261443569442
"0",-0.0031,50,"0.6","N6",0.04,0.065,0.0484323866227812,-0.00843238662278115,0.0165676133772188
"0",-0.0043,50,"0.8","N6",0.027,0.045,0.0478362229267827,-0.0208362229267827,-0.00283622292678269
"0",-0.0022,80,"0","N6",0.027,0.014,0.0485873026716584,-0.0215873026716585,-0.0345873026716585
"0",-9e-04,80,"0.2","N6",0.055,0.038,0.0494181691856134,0.00558183081438663,-0.0114181691856134
"0",0.0039,80,"0.4","N6",0.025,0.045,0.0525846494644444,-0.0275846494644444,-0.00758464946444441
"0",-0.0033,80,"0.6","N6",0.04,0.044,0.0478930185324075,-0.00789301853240746,-0.00389301853240746
"0",0.0055,80,"0.8","N6",0.043,0.043,0.0536752243376437,-0.0106752243376437,-0.0106752243376437
"0",-0.0057,110,"0","N6",0.03,0.018,0.045802156955662,-0.015802156955662,-0.027802156955662
"0",-0.0034,110,"0.2","N6",0.039,0.034,0.0474606133903381,-0.00846061339033814,-0.0134606133903381
"0",-0.0021,110,"0.4","N6",0.016,0.044,0.0484190764832563,-0.0324190764832563,-0.00441907648325628
"0",-0.0085,110,"0.6","N6",0.032,0.035,0.0438463799238825,-0.0118463799238825,-0.00884637992388251
"0",-4e-04,110,"0.8","N6",0.036,0.062,0.0496957391900033,-0.0136957391900033,0.0123042608099967
"0.3",0.2897,20,"0","N6",0.422,0.027,0.228131072094484,0.193868927905516,-0.201131072094484
"0.3",0.2915,20,"0.2","N6",0.402,0.182,0.229824324299035,0.172175675700965,-0.047824324299035
"0.3",0.2891,20,"0.4","N6",0.202,0.18,0.227568216871009,-0.0255682168710089,-0.0475682168710089
"0.3",0.3006,20,"0.6","N6",0.226,0.155,0.238491464337165,-0.0124914643371654,-0.0834914643371654
"0.3",0.2972,20,"0.8","N6",0.177,0.134,0.235232427520239,-0.0582324275202394,-0.101232427520239
"0.3",0.295,50,"0","N6",0.825,0.1,0.428559497338362,0.396440502661638,-0.328559497338362
"0.3",0.3081,50,"0.2","N6",0.752,0.444,0.454223681282026,0.297776318717974,-0.0102236812820259
"0.3",0.3134,50,"0.4","N6",0.527,0.34,0.464667690769716,0.0623323092302837,-0.124667690769716
"0.3",0.3004,50,"0.6","N6",0.479,0.309,0.439108427089187,0.0398915729108134,-0.130108427089187
"0.3",0.2954,50,"0.8","N6",0.392,0.244,0.429339247762957,-0.0373392477629566,-0.185339247762957
"0.3",0.3049,80,"0","N6",0.947,0.152,0.608432959346835,0.338567040653165,-0.456432959346835
"0.3",0.2967,80,"0.2","N6",0.897,0.481,0.588465245193253,0.308534754806747,-0.107465245193253
"0.3",0.2998,80,"0.4","N6",0.718,0.436,0.596044010756631,0.121955989243368,-0.160044010756631
"0.3",0.3022,80,"0.6","N6",0.675,0.4,0.601886936070803,0.0731130639291975,-0.201886936070803
"0.3",0.2949,80,"0.8","N6",0.565,0.342,0.584049280084999,-0.0190492800849986,-0.242049280084999
"0.3",0.2875,110,"0","N6",0.994,0.166,0.684627985900704,0.309372014099296,-0.518627985900704
"0.3",0.2952,110,"0.2","N6",0.973,0.513,0.70457570926366,0.26842429073634,-0.19157570926366
"0.3",0.3004,110,"0.4","N6",0.861,0.486,0.717709584505483,0.143290415494516,-0.231709584505484
"0.3",0.2903,110,"0.6","N6",0.788,0.446,0.691948340989991,0.0960516590100088,-0.245948340989991
"0.3",0.2938,110,"0.8","N6",0.71,0.434,0.700992225888749,0.00900777411125064,-0.266992225888749
"0.5",0.4774,20,"0","N6",0.834,0.071,0.435607887340286,0.398392112659714,-0.364607887340286
"0.5",0.4896,20,"0.2","N6",0.745,0.377,0.45056640740693,0.29443359259307,-0.0735664074069297
"0.5",0.4841,20,"0.4","N6",0.523,0.375,0.443812830145825,0.0791871698541754,-0.0688128301458246
"0.5",0.4765,20,"0.6","N6",0.531,0.319,0.434507756283462,0.0964922437165379,-0.115507756283462
"0.5",0.4695,20,"0.8","N6",0.391,0.246,0.425969100240711,-0.0349691002407106,-0.179969100240711
"0.5",0.4741,50,"0","N6",0.997,0.202,0.76090924023949,0.23609075976051,-0.55890924023949
"0.5",0.4824,50,"0.2","N6",0.978,0.513,0.773505448100628,0.204494551899372,-0.260505448100628
"0.5",0.4927,50,"0.4","N6",0.926,0.495,0.788602587294825,0.137397412705175,-0.293602587294825
"0.5",0.4894,50,"0.6","N6",0.866,0.472,0.783830967304746,0.0821690326952537,-0.311830967304746
"0.5",0.4846,50,"0.8","N6",0.815,0.431,0.776780269089579,0.0382197309104209,-0.345780269089579
"0.5",0.4832,80,"0","N6",1,0.252,0.9189503527912,0.0810496472087998,-0.6669503527912
"0.5",0.4899,80,"0.2","N6",1,0.518,0.925099879409147,0.0749001205908527,-0.407099879409147
"0.5",0.4832,80,"0.4","N6",0.987,0.472,0.9189503527912,0.0680496472087998,-0.4469503527912
"0.5",0.4797,80,"0.6","N6",0.975,0.493,0.915590033791983,0.0594099662080173,-0.422590033791983
"0.5",0.4852,80,"0.8","N6",0.939,0.488,0.920824657779841,0.018175342220159,-0.432824657779841
"0.5",0.486,110,"0","N6",1,0.313,0.974304570608645,0.0256954293913554,-0.661304570608645
"0.5",0.4862,110,"0.2","N6",1,0.474,0.974392869663245,0.0256071303367553,-0.500392869663245
"0.5",0.4879,110,"0.4","N6",0.998,0.515,0.975133203393345,0.0228667966066546,-0.460133203393345
"0.5",0.4768,110,"0.6","N6",0.992,0.509,0.969958616301011,0.0220413836989892,-0.460958616301011
"0.5",0.4893,110,"0.8","N6",0.986,0.519,0.97572933401181,0.0102706659881899,-0.45672933401181
"0.7",0.6592,20,"0","N6",0.989,0.153,0.656297536252602,0.332702463747398,-0.503297536252602
"0.7",0.6652,20,"0.2","N6",0.954,0.446,0.663125375243829,0.290874624756171,-0.217125375243829
"0.7",0.6636,20,"0.4","N6",0.82,0.472,0.661309756476329,0.158690243523671,-0.189309756476329
"0.7",0.6511,20,"0.6","N6",0.79,0.438,0.646998784480952,0.143001215519048,-0.208998784480952
"0.7",0.6594,20,"0.8","N6",0.694,0.409,0.656525970130792,0.0374740298692081,-0.247525970130792
"0.7",0.6548,50,"0","N6",1,0.255,0.945908802728824,0.0540911972711764,-0.690908802728824
"0.7",0.6639,50,"0.2","N6",1,0.486,0.950691722104846,0.0493082778951541,-0.464691722104846
"0.7",0.6597,50,"0.4","N6",0.997,0.527,0.948527932180291,0.0484720678197089,-0.421527932180291
"0.7",0.6618,50,"0.6","N6",0.997,0.491,0.949619083506318,0.0473809164936817,-0.458619083506318
"0.7",0.6626,50,"0.8","N6",0.974,0.47,0.950029879826541,0.0239701201734588,-0.480029879826541
"0.7",0.6601,80,"0","N6",1,0.329,0.993997882013872,0.00600211798612849,-0.664997882013872
